Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
2,0,"Arielle - Auf menschlichen Beinen",001,1,Bernstein,Ungewöhnlich,"0,07 €","0,33 €"
1,0,"Arielle - Spektakuläre Sängerin",001,2,Bernstein,Super Selten,"6,02 €","14,70 €"
2,0,"Cinderella - Behutsam und freundlich",001,3,Bernstein,Ungewöhnlich,"0,10 €","0,33 €"
1,0,"Goofy - Musketier",001,4,Bernstein,Ungewöhnlich,"0,14 €","0,73 €"
0,0,"Hades - König des Olymps",001,5,Bernstein,Rare,"0,19 €","0,31 €"
1,0,"Hades - Herrscher der Unterwelt",001,6,Bernstein,Rare,"0,12 €","3,39 €"
2,0,"HeiHei - Bootssnack",001,7,Bernstein,Häufig,"0,11 €","0,25 €"
2,0,"Le Fou - Tollpatsch",001,8,Bernstein,Ungewöhnlich,"0,07 €","0,41 €"
0,0,"Lilo - Wünscht sich was",001,9,Bernstein,Rare,"3,13 €","4,58 €"
0,0,"Maximus - Schloss-Pferd",001,10,Bernstein,Super Selten,"0,33 €","1,86 €"
2,0,"Maximus - Gnadenloser Verfolger",001,11,Bernstein,Ungewöhnlich,"0,10 €","0,52 €"
3,0,"Micky Maus - Wahrer Freund",001,12,Bernstein,Ungewöhnlich,"0,10 €","0,81 €"
3,0,"Minnie Maus - Geliebte Prinzessin",001,13,Bernstein,Häufig,"0,07 €","0,14 €"
0,1,"Vaiana - Von Motunui",001,14,Bernstein,Rare,"0,29 €","0,27 €"
1,0,"Herr Smee - Loyaler Erster Maat",001,15,Bernstein,Häufig,"0,07 €","0,15 €"
1,0,"Prinz Phillip - Drachenbändiger",001,16,Bernstein,Ungewöhnlich,"0,11 €","0,22 €"
1,0,"Pumbaa - Freundliches Warzenschwein",001,17,Bernstein,Häufig,"0,07 €","0,17 €"
0,0,"Rapunzel - Begnadete Heilerin",001,18,Bernstein,Legendär,"41,07 €","75,69 €"
2,0,"Sebastian - Hofkomponist",001,19,Bernstein,Häufig,"0,07 €","0,15 €"
1,0,"Simba - Schützender Welpe",001,20,Bernstein,Häufig,"0,27 €","0,45 €"
0,0,"Stitch - Sorgloser Surfer",001,21,Bernstein,Legendär,"9,70 €","71,62 €"
4,0,"Stitch - Neuer Hund",001,22,Bernstein,Häufig,"0,10 €","0,65 €"
0,0,"Stitch - Rockstar",001,23,Bernstein,Super Selten,"2,38 €","8,11 €"
2,0,"Timon - Larvendieb",001,24,Bernstein,Häufig,"0,07 €","0,17 €"
2,0,"Sei hier Gast!",001,25,Bernstein,Ungewöhnlich,"0,15 €","0,33 €"
2,0,"Halten Sie ihr Temperament im Zaum!",001,26,Bernstein,Häufig,"0,07 €","0,14 €"
2,0,"Hakuna Matata",001,27,Bernstein,Häufig,"0,07 €","0,33 €"
2,0,"Heilendes Leuchten",001,28,Bernstein,Häufig,"0,07 €","0,19 €"
0,0,"Gerade Rechtzeitig",001,29,Bernstein,Rare,"0,48 €","2,46 €"
1,0,"In Deiner Welt",001,30,Bernstein,Rare,"0,29 €","1,62 €"
0,0,"Du hast mich vergessen",001,31,Bernstein,Ungewöhnlich,"0,26 €","1,36 €"
3,0,"Dingelhopper",001,32,Bernstein,Häufig,"0,05 €","0,19 €"
0,0,"Himmelslaterne",001,33,Bernstein,Rare,"0,86 €","3,39 €"
0,0,"Ursulas Muschel-Halskette",001,34,Bernstein,Rare,"0,16 €","1,05 €"
0,0,"Anna - Thronfolgerin von Arendelle",001,35,Amethyst,Ungewöhnlich,"0,14 €","0,57 €"
1,0,"Archimedes - Hochgebildeter Kauz",001,36,Amethyst,Häufig,"0,07 €","0,18 €"
4,0,"Dr. Facilier - Agent Provocateur",001,37,Amethyst,Rare,"0,14 €","1,62 €"
2,0,"Dr. Facilier - Scharlatan",001,38,Amethyst,Häufig,"0,07 €","0,22 €"
0,0,"Dr. Facilier - Bemerkenswerter Gentleman",001,39,Amethyst,Rare,"0,33 €","0,78 €"
4,0,"Elsa - Amtierende Königin",001,40,Amethyst,Häufig,"0,11 €","0,31 €"
0,0,"Elsa - Eiskönigin",001,41,Amethyst,Ungewöhnlich,"0,18 €","1,41 €"
0,0,"Elsa - Magie des Winters",001,42,Amethyst,Legendär,"7,03 €","38,03 €"
1,0,"Abschaum - Ursulas Spion",001,43,Amethyst,Rare,"0,22 €","1,11 €"
0,0,"Dschafar - Hüter der Geheimnisse",001,44,Amethyst,Rare,"0,12 €","2,12 €"
2,0,"Dschafar - Hinterhältiger Hexer",001,45,Amethyst,Häufig,"0,11 €","0,18 €"
2,0,"Meerschaum - Ursulas Spion",001,46,Amethyst,Häufig,"0,07 €","0,25 €"
5,0,"Zauberbesen - Wasser marsch!",001,47,Amethyst,Häufig,"0,10 €","0,33 €"
1,0,"Malefiz - Auf der Lauer",001,48,Amethyst,Rare,"4,67 €","8,25 €"
2,0,"Malefiz - Hexerin",001,49,Amethyst,Häufig,"0,22 €","1,42 €"
1,0,"Marshmallow - Hartnäckiger Hüter",001,50,Amethyst,Super Selten,"0,33 €","0,55 €"
0,1,"Micky Maus - Eigenwilliger Zauberer",001,51,Amethyst,Super Selten,"1,62 €","1,83 €"
3,0,"Olaf - Freundlicher Schneemann",001,52,Amethyst,Ungewöhnlich,"0,13 €","1,06 €"
3,0,"Pascal - Rapunzels Begleiter",001,53,Amethyst,Ungewöhnlich,"0,22 €","1,85 €"
3,0,"Rafiki - Geheimnisvoller Weiser",001,54,Amethyst,Ungewöhnlich,"0,11 €","0,49 €"
2,0,"Sven - Offizieller Eislieferant",001,55,Amethyst,Ungewöhnlich,"0,11 €","0,45 €"
0,0,"Die Königin - Boshaft und eitel",001,56,Amethyst,Super Selten,"0,27 €","1,07 €"
4,0,"Mme. Kommode - Belles Vertraute",001,57,Amethyst,Häufig,"0,07 €","0,18 €"
2,0,"Naseweis - Peter Pans Verbündete",001,58,Amethyst,Häufig,"0,07 €","0,15 €"
0,0,"Ursula - Machtgierig",001,59,Amethyst,Legendär,"3,13 €","18,51 €"
2,0,"Isma - Alchemistin",001,60,Amethyst,Häufig,"0,11 €","0,18 €"
0,0,"Zeus - Gott der Blitze",001,61,Amethyst,Rare,"0,33 €","0,91 €"
1,0,"Das meistbeirrende Spiel",001,62,Amethyst,Ungewöhnlich,"0,33 €","1,54 €"
2,0,"Einfrieren",001,63,Amethyst,Häufig,"0,05 €","0,21 €"
0,0,"Freunde im Schattenreich",001,64,Amethyst,Häufig,"0,27 €","4,44 €"
0,0,"Wer bin ich?",001,65,Amethyst,Ungewöhnlich,"0,11 €","0,46 €"
0,0,"Wunderspiegel",001,66,Amethyst,Rare,"0,33 €","1,36 €"
0,0,"Ursulas Kessel",001,67,Amethyst,Ungewöhnlich,"0,13 €","0,67 €"
0,0,"Taschenuhr des weißen Kaninchens",001,68,Amethyst,Rare,"0,33 €","1,23 €"
3,0,"Aladdin - Prinz Ali",001,69,Smaragd,Häufig,"0,07 €","0,19 €"
0,0,"Biest - Schrecken der Wölfe",001,70,Smaragd,Legendär,"2,63 €","18,91 €"
1,0,"Grinsekatze - Nicht ganz da",001,71,Smaragd,Ungewöhnlich,"0,08 €","1,24 €"
0,1,"Cruella De Vil - Miserabel wie immer",001,72,Smaragd,Rare,"0,21 €","0,21 €"
2,0,"Herzog von Pitzbühl - Opportunistischer Funktionär",001,73,Smaragd,Häufig,"0,07 €","0,17 €"
0,0,"Flynn Rider - Charmanter Gauner",001,74,Smaragd,Ungewöhnlich,"0,45 €","3,73 €"
0,0,"Dschinni - Bei der Arbeit",001,75,Smaragd,Super Selten,"0,49 €","3,13 €"
0,0,"Dschinni - Entfesselte Energie",001,76,Smaragd,Rare,"0,33 €","1,11 €"
1,0,"Dschinni - Stets eindrucksvoll",001,77,Smaragd,Häufig,"0,07 €","0,19 €"
0,0,"Hans - Hinterhältiger Prinz",001,78,Smaragd,Rare,"0,39 €","1,62 €"
5,0,"Horace - Nichtsnutziger Halunke",001,79,Smaragd,Häufig,"0,07 €","0,13 €"
1,0,"Jago - Großmäuliger Papagei",001,80,Smaragd,Rare,"0,15 €","1,09 €"
