Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
9,2,Ariel - On Human Legs,001,1,Amber,Uncommon,"€0.05","€0.58"
4,0,Ariel - Spectacular Singer,001,2,Amber,Super Rare,"€2.54","€11.36"
9,0,Cinderella - Gentle and Kind,001,3,Amber,Uncommon,"€0.09","€0.44"
9,0,Goofy - Musketeer,001,4,Amber,Uncommon,"€0.12","€1.04"
6,2,Hades - King of Olympus,001,5,Amber,Rare,"€0.27","€0.49"
7,0,Hades - Lord of the Underworld,001,6,Amber,Rare,"€0.58","€4.65"
8,1,HeiHei - Boat Snack,001,7,Amber,Common,"€0.09","€0.25"
7,1,LeFou - Bumbler,001,8,Amber,Uncommon,"€0.09","€0.33"
4,0,Lilo - Making a Wish,001,9,Amber,Rare,"€2.93","€5.05"
7,2,Maximus - Palace Horse,001,10,Amber,Super Rare,"€0.57","€3.92"
8,0,Maximus - Relentless Pursuer,001,11,Amber,Uncommon,"€0.09","€0.48"
8,2,Mickey Mouse - True Friend,001,12,Amber,Uncommon,"€0.05","€0.73"
8,1,Minnie Mouse - Beloved Princess,001,13,Amber,Common,"€0.05","€0.21"
5,1,Moana - Of Motunui,001,14,Amber,Rare,"€0.21","€0.71"
7,1,Mr. Smee - Loyal First Mate,001,15,Amber,Common,"€0.05","€0.17"
6,2,Prince Phillip - Dragonslayer,001,16,Amber,Uncommon,"€0.09","€0.52"
8,1,Pumbaa - Friendly Warthog,001,17,Amber,Common,"€0.05","€0.17"
3,0,Rapunzel - Gifted with Healing,001,18,Amber,Legendary,"€34.23","€71.74"
9,1,Sebastian - Court Composer,001,19,Amber,Common,"€0.05","€0.21"
8,0,Simba - Protective Cub,001,20,Amber,Common,"€0.17","€0.99"
2,0,Stitch - Carefree Surfer,001,21,Amber,Legendary,"€15.39","€65.52"
8,2,Stitch - New Dog,001,22,Amber,Common,"€0.09","€0.43"
4,0,Stitch - Rock Star,001,23,Amber,Super Rare,"€5.25","€8.62"
11,0,Timon - Grub Rustler,001,24,Amber,Common,"€0.05","€0.17"
7,1,Be Our Guest,001,25,Amber,Uncommon,"€0.12","€1.67"
8,1,Control Your Temper!,001,26,Amber,Common,"€0.05","€0.17"
9,0,Hakuna Matata,001,27,Amber,Common,"€0.05","€0.25"
8,2,Healing Glow,001,28,Amber,Common,"€0.05","€0.17"
5,0,Just in Time,001,29,Amber,Rare,"€0.41","€2.08"
6,1,Part of Your World,001,30,Amber,Rare,"€0.13","€1.57"
8,0,You Have Forgotten Me,001,31,Amber,Uncommon,"€0.12","€1.10"
8,2,Dinglehopper,001,32,Amber,Common,"€0.05","€0.22"
5,0,Lantern,001,33,Amber,Rare,"€1.90","€3.15"
4,0,Ursula's Shell Necklace,001,34,Amber,Rare,"€0.21","€1.24"
7,2,Anna - Heir to Arendelle,001,35,Amethyst,Uncommon,"€0.09","€0.55"
7,2,Archimedes - Highly Educated Owl,001,36,Amethyst,Common,"€0.05","€0.20"
6,0,Dr. Facilier - Agent Provocateur,001,37,Amethyst,Rare,"€0.24","€2.02"
10,0,Dr. Facilier - Charlatan,001,38,Amethyst,Common,"€0.07","€0.19"
4,1,Dr. Facilier - Remarkable Gentleman,001,39,Amethyst,Rare,"€0.29","€1.08"
8,0,Elsa - Queen Regent,001,40,Amethyst,Common,"€0.05","€0.32"
8,1,Elsa - Snow Queen,001,41,Amethyst,Uncommon,"€0.17","€1.57"
2,0,Elsa - Spirit of Winter,001,42,Amethyst,Legendary,"€16.46","€56.33"
5,0,Flotsam - Ursula's Spy,001,43,Amethyst,Rare,"€0.17","€0.68"
6,0,Jafar - Keeper of Secrets,001,44,Amethyst,Rare,"€0.35","€2.11"
8,1,Jafar - Wicked Sorcerer,001,45,Amethyst,Common,"€0.05","€0.17"
9,0,Jetsam - Ursula's Spy,001,46,Amethyst,Common,"€0.07","€0.17"
8,1,Magic Broom - Bucket Brigade,001,47,Amethyst,Common,"€0.05","€0.25"
6,0,Maleficent - Biding Her Time,001,48,Amethyst,Rare,"€2.73","€5.31"
8,1,Maleficent - Sorceress,001,49,Amethyst,Common,"€0.11","€0.25"
6,0,Marshmallow - Persistent Guardian,001,50,Amethyst,Super Rare,"€0.44","€1.57"
3,2,Mickey Mouse - Wayward Sorcerer,001,51,Amethyst,Super Rare,"€0.53","€0.97"
9,0,Olaf - Friendly Snowman,001,52,Amethyst,Uncommon,"€0.11","€0.83"
8,0,Pascal - Rapunzel's Companion,001,53,Amethyst,Uncommon,"€0.17","€1.93"
9,0,Rafiki - Mysterious Sage,001,54,Amethyst,Uncommon,"€0.05","€0.87"
8,0,Sven - Official Ice Deliverer,001,55,Amethyst,Uncommon,"€0.09","€0.32"
5,1,The Queen - Wicked and Vain,001,56,Amethyst,Super Rare,"€0.63","€3.51"
9,0,The Wardrobe - Belle's Confidant,001,57,Amethyst,Common,"€0.07","€0.18"
11,0,Tinker Bell - Peter Pan's Ally,001,58,Amethyst,Common,"€0.05","€0.18"
5,0,Ursula - Power Hungry,001,59,Amethyst,Legendary,"€10.57","€35.95"
8,3,Yzma - Alchemist,001,60,Amethyst,Common,"€0.09","€0.20"
5,2,Zeus - God of Lightning,001,61,Amethyst,Rare,"€0.31","€2.01"
8,0,Befuddle,001,62,Amethyst,Uncommon,"€0.22","€1.88"
8,2,Freeze,001,63,Amethyst,Common,"€0.05","€0.18"
8,1,Friends on the Other Side,001,64,Amethyst,Common,"€0.17","€1.05"
9,0,Reflection,001,65,Amethyst,Uncommon,"€0.09","€0.45"
4,3,Magic Mirror,001,66,Amethyst,Rare,"€0.27","€2.10"
4,1,Ursula's Cauldron,001,67,Amethyst,Uncommon,"€0.09","€0.83"
4,1,White Rabbit's Pocket Watch,001,68,Amethyst,Rare,"€0.17","€2.32"
8,1,Aladdin - Prince Ali,001,69,Emerald,Common,"€0.07","€0.17"
2,0,Beast - Wolfsbane,001,70,Emerald,Legendary,"€3.64","€28.31"
