Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
8,2,Ariel - On Human Legs,001,1,Amber,Uncommon,"€0.09","€0.46"
4,0,Ariel - Spectacular Singer,001,2,Amber,Super rare,"€2.54","€9.11"
9,0,Cinderella - Gentle and Kind,001,3,Amber,Uncommon,"€0.09","€1.21"
8,0,Goofy - Musketeer,001,4,Amber,Uncommon,"€0.21","€0.70"
6,2,Hades - King of Olympus,001,5,Amber,Rare,"€0.37","€0.70"
7,0,Hades - Lord of the Underworld,001,6,Amber,Rare,"€0.30","€3.16"
8,1,Heihei - Boat Snack,001,7,Amber,Common,"€0.09","€0.76"
7,1,Lefou - Bumbler,001,8,Amber,Uncommon,"€0.14","€0.91"
4,0,Lilo - Making a Wish,001,9,Amber,Rare,"€3.22","€5.20"
6,2,Maximus - Palace Horse,001,10,Amber,Super rare,"€0.54","€2.44"
8,0,Maximus - Relentless Pursuer,001,11,Amber,Uncommon,"€0.09","€0.46"
8,2,Mickey Mouse - True Friend,001,12,Amber,Uncommon,"€0.09","€1.11"
8,1,Minnie Mouse - Beloved Princess,001,13,Amber,Common,"€0.10","€0.49"
5,1,Moana - Of Motunui,001,14,Amber,Rare,"€0.14","€1.11"
7,1,Mr. Smee - Loyal First Mate,001,15,Amber,Common,"€0.09","€0.22"
6,2,Prince Phillip - Dragonslayer,001,16,Amber,Uncommon,"€0.09","€0.76"
8,1,Pumbaa - Friendly Warthog,001,17,Amber,Common,"€0.09","€0.22"
3,0,Rapunzel - Gifted with Healing,001,18,Amber,Legendary,"€32.43","€88.64"
8,1,Sebastian - Court Composer,001,19,Amber,Common,"€0.10","€0.22"
8,0,Simba - Protective Cub,001,20,Amber,Common,"€0.16","€1.10"
2,0,Stitch - Carefree Surfer,001,21,Amber,Legendary,"€10.20","€47.79"
8,2,Stitch - New Dog,001,22,Amber,Common,"€0.09","€1.21"
4,0,Stitch - Rock Star,001,23,Amber,Super rare,"€3.98","€10.03"
9,0,Timon - Grub Rustler,001,24,Amber,Common,"€0.10","€0.40"
7,1,Be Our Guest,001,25,Amber,Uncommon,"€0.13","€1.67"
8,1,Control your temper!,001,26,Amber,Common,"€0.09","€0.22"
9,0,Hakuna Matata,001,27,Amber,Common,"€0.09","€0.49"
8,2,Healing Glow,001,28,Amber,Common,"€0.09","€0.22"
5,0,Just In Time,001,29,Amber,Rare,"€0.91","€2.54"
6,1,Part of Your World,001,30,Amber,Rare,"€0.30","€1.00"
8,0,You Have Forgotten Me,001,31,Amber,Uncommon,"€0.32","€2.13"
8,2,Dinglehopper,001,32,Amber,Common,"€0.09","€0.49"
4,0,Lantern,001,33,Amber,Rare,"€0.91","€3.26"
4,0,Ursula's Shell Necklace,001,34,Amber,Rare,"€0.22","€1.63"
