Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
5,0,"Arielle - Auf menschlichen Beinen",001,1,Bernstein,Ungewöhnlich,"0,10 €","0,18 €"
1,0,"Arielle - Spektakuläre Sängerin",001,2,Bernstein,Super Selten,"4,40 €","16,63 €"
8,0,"Cinderella - Behutsam und freundlich",001,3,Bernstein,Ungewöhnlich,"0,10 €","0,18 €"
5,0,"Goofy - Musketier",001,4,Bernstein,Ungewöhnlich,"0,12 €","0,57 €"
5,0,"Hades - König des Olymps",001,5,Bernstein,Rare,"0,20 €","0,32 €"
6,0,"Hades - Herrscher der Unterwelt",001,6,Bernstein,Rare,"0,20 €","3,30 €"
13,0,"HeiHei - Bootssnack",001,7,Bernstein,Häufig,"0,09 €","0,20 €"
8,0,"Le Fou - Tollpatsch",001,8,Bernstein,Ungewöhnlich,"0,10 €","0,18 €"
4,0,"Lilo - Wünscht sich was",001,9,Bernstein,Rare,"2,42 €","4,84 €"
4,0,"Maximus - Schloss-Pferd",001,10,Bernstein,Super Selten,"0,33 €","0,61 €"
8,0,"Maximus - Gnadenloser Verfolger",001,11,Bernstein,Ungewöhnlich,"0,09 €","0,61 €"
6,0,"Micky Maus - Wahrer Freund",001,12,Bernstein,Ungewöhnlich,"0,10 €","1,03 €"
6,0,"Minnie Maus - Geliebte Prinzessin",001,13,Bernstein,Häufig,"0,09 €","0,19 €"
4,0,"Vaiana - Von Motunui",001,14,Bernstein,Rare,"0,17 €","0,22 €"
7,0,"Herr Smee - Loyaler Erster Maat",001,15,Bernstein,Häufig,"0,09 €","0,19 €"
6,0,"Prinz Phillip - Drachenbändiger",001,16,Bernstein,Ungewöhnlich,"0,12 €","0,22 €"
5,0,"Pumbaa - Freundliches Warzenschwein",001,17,Bernstein,Häufig,"0,10 €","0,15 €"
2,0,"Rapunzel - Begnadete Heilerin",001,18,Bernstein,Legendär,"42,37 €","103,40 €"
9,0,"Sebastian - Hofkomponist",001,19,Bernstein,Häufig,"0,10 €","0,15 €"
